x	y	ymin	ymax	xmin	xmax
-4.58573215775917	5.54380565582321e-06	0	5.54380565582321e-06	-4.58573215775917	-4.58573215775917
-4.55085972600273	1.02795433571039e-05	0	1.02795433571039e-05	-4.55085972600273	-4.55085972600273
-4.51598729424628	1.80965985995051e-05	0	1.80965985995051e-05	-4.51598729424628	-4.51598729424628
-4.48111486248983	3.03286108382111e-05	0	3.03286108382111e-05	-4.48111486248983	-4.48111486248983
-4.44624243073338	4.91475157309789e-05	0	4.91475157309789e-05	-4.44624243073338	-4.44624243073338
-4.41136999897694	7.58508369540038e-05	0	7.58508369540038e-05	-4.41136999897694	-4.41136999897694
-4.37649756722049	0.000111584013537934	0	0.000111584013537934	-4.37649756722049	-4.37649756722049
-4.34162513546404	0.000156811141664411	0	0.000156811141664411	-4.34162513546404	-4.34162513546404
-4.3067527037076	0.000211373994912003	0	0.000211373994912003	-4.3067527037076	-4.3067527037076
-4.27188027195115	0.000271891274006708	0	0.000271891274006708	-4.27188027195115	-4.27188027195115
-4.2370078401947	0.000334245905572397	0	0.000334245905572397	-4.2370078401947	-4.2370078401947
-4.20213540843825	0.000393164931470894	0	0.000393164931470894	-4.20213540843825	-4.20213540843825
-4.16726297668181	0.000441418149259295	0	0.000441418149259295	-4.16726297668181	-4.16726297668181
-4.13239054492536	0.000474021184384844	0	0.000474021184384844	-4.13239054492536	-4.13239054492536
-4.09751811316891	0.000487359458459646	0	0.000487359458459646	-4.09751811316891	-4.09751811316891
-4.06264568141247	0.000479970420643335	0	0.000479970420643335	-4.06264568141247	-4.06264568141247
-4.02777324965602	0.000452251116629126	0	0.000452251116629126	-4.02777324965602	-4.02777324965602
-3.99290081789957	0.000410606743495671	0	0.000410606743495671	-3.99290081789957	-3.99290081789957
-3.95802838614312	0.000361639263225888	0	0.000361639263225888	-3.95802838614312	-3.95802838614312
-3.92315595438668	0.000313130238511206	0	0.000313130238511206	-3.92315595438668	-3.92315595438668
-3.88828352263023	0.000274460166869041	0	0.000274460166869041	-3.88828352263023	-3.88828352263023
-3.85341109087378	0.000252656969723756	0	0.000252656969723756	-3.85341109087378	-3.85341109087378
-3.81853865911734	0.000253277590314839	0	0.000253277590314839	-3.81853865911734	-3.81853865911734
-3.78366622736089	0.000280383488087611	0	0.000280383488087611	-3.78366622736089	-3.78366622736089
-3.74879379560444	0.000336674397461395	0	0.000336674397461395	-3.74879379560444	-3.74879379560444
-3.71392136384799	0.000418051543578197	0	0.000418051543578197	-3.71392136384799	-3.71392136384799
-3.67904893209155	0.000519451999283375	0	0.000519451999283375	-3.67904893209155	-3.67904893209155
-3.6441765003351	0.000633217064197711	0	0.000633217064197711	-3.6441765003351	-3.6441765003351
-3.60930406857865	0.00074832551194198	0	0.00074832551194198	-3.60930406857865	-3.60930406857865
-3.5744316368222	0.000853456216120442	0	0.000853456216120442	-3.5744316368222	-3.5744316368222
-3.53955920506576	0.000939721316995392	0	0.000939721316995392	-3.53955920506576	-3.53955920506576
-3.50468677330931	0.00100105192241029	0	0.00100105192241029	-3.50468677330931	-3.50468677330931
-3.46981434155286	0.00103711432662665	0	0.00103711432662665	-3.46981434155286	-3.46981434155286
-3.43494190979642	0.00105778497188931	0	0.00105778497188931	-3.43494190979642	-3.43494190979642
-3.40006947803997	0.00107769456933742	0	0.00107769456933742	-3.40006947803997	-3.40006947803997
-3.36519704628352	0.00111777072485794	0	0.00111777072485794	-3.36519704628352	-3.36519704628352
-3.33032461452707	0.00120509250104959	0	0.00120509250104959	-3.33032461452707	-3.33032461452707
-3.29545218277063	0.00136020743963086	0	0.00136020743963086	-3.29545218277063	-3.29545218277063
-3.26057975101418	0.00160017632180515	0	0.00160017632180515	-3.26057975101418	-3.26057975101418
-3.22570731925773	0.00193813580554799	0	0.00193813580554799	-3.22570731925773	-3.22570731925773
-3.19083488750129	0.00237633739821805	0	0.00237633739821805	-3.19083488750129	-3.19083488750129
-3.15596245574484	0.00289946458717188	0	0.00289946458717188	-3.15596245574484	-3.15596245574484
-3.12109002398839	0.00349066922423981	0	0.00349066922423981	-3.12109002398839	-3.12109002398839
-3.08621759223194	0.00412982975973571	0	0.00412982975973571	-3.08621759223194	-3.08621759223194
-3.0513451604755	0.00479274130606594	0	0.00479274130606594	-3.0513451604755	-3.0513451604755
-3.01647272871905	0.00545893338793036	0	0.00545893338793036	-3.01647272871905	-3.01647272871905
-2.9816002969626	0.0061149769917311	0	0.0061149769917311	-2.9816002969626	-2.9816002969626
-2.94672786520616	0.00675159965270384	0	0.00675159965270384	-2.94672786520616	-2.94672786520616
-2.91185543344971	0.00736506264954627	0	0.00736506264954627	-2.91185543344971	-2.91185543344971
-2.87698300169326	0.0079571459787497	0	0.0079571459787497	-2.87698300169326	-2.87698300169326
-2.84211056993681	0.00853169306665241	0	0.00853169306665241	-2.84211056993681	-2.84211056993681
-2.80723813818037	0.00909600017056323	0	0.00909600017056323	-2.80723813818037	-2.80723813818037
-2.77236570642392	0.00966438655265213	0	0.00966438655265213	-2.77236570642392	-2.77236570642392
-2.73749327466747	0.0102562886550916	0	0.0102562886550916	-2.73749327466747	-2.73749327466747
-2.70262084291103	0.0108963466320813	0	0.0108963466320813	-2.70262084291103	-2.70262084291103
